code,name,country_id
1,AGUASCALIENTES,MEXICO
2,BAJA CALIFORNIA,MEXICO
3,BAJA CALIFORNIA SUR,MEXICO
4,CAMPECHE,MEXICO
5,COAHUILA,MEXICO
6,COLIMA,MEXICO
7,CHIAPAS,MEXICO
8,CHIHUAHUA,MEXICO
9,DISTRITO FEDERAL,MEXICO
10,DURANGO,MEXICO
11,GUANAJUATO,MEXICO
12,GUERRERO,MEXICO
13,HIDALGO,MEXICO
14,JALISCO,MEXICO
15,ESTADO DE MEXICO,MEXICO
16,MICHOACAN,MEXICO
17,MORELOS,MEXICO
18,NAYARIT,MEXICO
19,NUEVO LEON,MEXICO
20,OAXACA,MEXICO
21,PUEBLA,MEXICO
22,QUERETARO,MEXICO
23,QUINTANA ROO,MEXICO
24,SAN LUIS POTOSI,MEXICO
25,SINALOA,MEXICO
26,SONORA,MEXICO
27,TABASCO,MEXICO
28,TAMAULIPAS,MEXICO
29,TLAXCALA,MEXICO
30,VERACRUZ,MEXICO
31,YUCATAN,MEXICO
32,ZACATECAS,MEXICO
